13,5119194;43,6111878;"Bar del Parco"
12,3426572;43,072464;"Bar da Pippo"
13,7058154;43,323351;"Bar"
8,9580277;44,4122633;"Bar Solari"
12,4707375;41,8890547;"Bar San Calisto"
11,5518986;45,5529835;"Bar"
11,4165704;46,2730274;"Bar Sport"
12,6470445;41,7251142;"Bar"
14,164936;42,5038526;"Bar Kristal"
10,2529366;43,8674498;"Bar San Francesco 131"
11,3123512;46,2238841;"Bar Linard"
11,1624239;46,0730991;"Bar Oltrebar"
10,7332556;45,5030472;"Bar Nautica"
11,9579334;46,7392767;"Bar"
9,7305175;44,1033954;"Bar dell'amore"
12,1663561;43,1173698;"Bar"
12,2025221;43,1233749;"Bar Gina"
11,3473831;46,3673574;"Bar Gasthaus Schönblick"
13,5758426;42,8549465;"Bar Caffè Sestili"
13,5752278;42,8547733;"Bar Centrale"
10,4038129;43,7159339;"Bar Caffè della Berlina"
11,4111308;44,9014899;"Bar Pit Stop"
13,7890877;45,6880628;"Bar Gelateria Arnoldo"
13,7676202;45,6490255;"Bar Stella"
13,7676499;45,6492615;"Bar Unita'"
11,879358;46,0400036;"Bar n,a"
11,8799717;46,0400519;"Bar Centrale"
11,880891;46,0401318;"Bar El Travo"
11,8805156;46,0397484;"Bar Centrale"
10,719668;45,546671;"Bar elateria Cristallo"
12,50897;38,0145392;"Bar Gelateria Gino"
11,9078445;46,015563;"Bar Ristorante Aurora"
11,6011867;46,3130928;"Bar Scarabellin"
11,6006039;46,313539;"Bar Teatro"
11,5994554;46,3117416;"Bar"
11,6019811;46,3117817;"Bar Caffè Predazzo"
11,6019299;46,310868;"Bar Caorer"
11,1327878;46,1937066;"Bar L'aquila nera"
11,5992861;46,3000019;"Bar Loze"
10,826961;46,2333836;"Bar Torre Brenta"
10,8258459;46,2319427;"Bar Arnica"
14,1502706;42,5135582;"Bar Pasticceria Adriatica"
14,1493863;42,5144008;"Bar Gran Caffè Roma"
14,1679641;42,5013865;"Bar Blu Bar"
11,6737469;46,4202107;"Bar Ladin"
11,6756878;46,4202886;"Bar Mirella"
11,6313406;46,3520863;"Bar Giardino"
10,2721848;43,6729038;"Bar"
9,6547599;44,1463563;"Bar Midi"
9,2295352;45,4733613;"Bar Venere"
14,1516002;42,5149485;"Bar Mikafè"
13,5135122;43,6088553;"Bar Parisa"
13,5166573;43,6101605;"Bar Pasticceria Dorica di C,F,G,"
12,4126419;41,9571645;"Bar F,lli Pasquini"
7,6547613;45,9410615;"Bar"
11,3537517;46,3672459;"Bar Ebner - Pfiffikus"
12,5268155;41,8777974;"Bar Buscaglione"
12,5287918;41,8767149;"Bar San Domenico"
12,4942834;41,8686979;"Bar Quinto's"
12,4670136;41,9331309;"Bar 60"
12,5345183;41,9351411;"Bar Al Solito Posto"
11,3280837;43,3237944;"Bar New York"
12,5705544;41,857203;"Bar degli Studenti"
12,5695357;41,8607249;"Bar Non Solo Bar"
10,3296349;43,5551473;"Bar Civili"
10,3186588;43,5526113;"Bar Pelletti"
10,3278436;43,5502029;"Bar Papillon"
10,7342628;45,3546178;"Bar Central"
10,7247271;45,3538505;"Bar"
10,7247429;45,3537954;"Bar"
10,8169632;45,3087492;"Bar Cafè Divino"
10,3174272;43,5525809;"Bar"
10,315824;43,5524693;"Bar"
10,3082763;43,5543653;"Bar Cafè in Venezia"
11,3505798;45,7197232;"Bar Circolo ARCI"
10,4018105;43,717105;"Bar Caffetteria delle Vettovaglie"
9,8777169;45,6008947;"Bar Marini"
9,7092593;45,590201;"Bar Caffè Colleoni"
10,3288103;43,5479392;"Bar"
